% f (Hz),	G_rec (dB),	T_e_rec (K)
1602000000.000000,	56.117350,	7.757973
1603000000.000000,	56.114979,	7.810467
1604000000.000000,	56.105563,	7.855414
1605000000.000000,	56.088244,	7.778176
1606000000.000000,	56.090576,	7.766710
1607000000.000000,	56.093485,	7.650847
1608000000.000000,	56.075282,	7.841071
1609000000.000000,	56.078296,	7.742187
1610000000.000000,	56.068884,	7.736367
1611000000.000000,	56.061529,	7.733267
1612000000.000000,	56.058651,	7.802637
1613000000.000000,	56.040855,	7.798541
1614000000.000000,	56.037614,	7.738118
1615000000.000000,	56.035944,	7.671099
1616000000.000000,	56.014977,	7.731791
1617000000.000000,	56.001425,	7.775837
1618000000.000000,	55.996797,	7.710603
1619000000.000000,	55.952734,	7.934252
1620000000.000000,	55.966460,	7.743869
1621000000.000000,	55.960075,	7.761395
1622000000.000000,	55.943785,	7.776334
1623000000.000000,	55.926566,	7.855454
1624000000.000000,	55.912779,	7.769412
1625000000.000000,	55.888453,	7.804897
1626000000.000000,	55.910722,	7.644451
1627000000.000000,	55.886884,	7.915629
1628000000.000000,	55.882260,	7.759835
1629000000.000000,	55.876481,	7.677167
1630000000.000000,	55.863330,	7.755079
1631000000.000000,	55.856114,	7.688642
1632000000.000000,	55.853486,	7.593078
1633000000.000000,	55.833539,	7.768831
1634000000.000000,	55.832568,	7.733518
1635000000.000000,	55.826513,	7.648615
1636000000.000000,	55.816878,	7.529998
1637000000.000000,	55.817112,	7.481393
1638000000.000000,	55.807426,	7.538734
1639000000.000000,	55.773991,	7.653717
1640000000.000000,	55.765597,	7.576070
1641000000.000000,	55.763357,	7.498946
1642000000.000000,	55.734932,	7.706024
1643000000.000000,	55.733463,	7.540417
1644000000.000000,	55.716892,	7.436256
1645000000.000000,	55.704419,	7.546074
1646000000.000000,	55.675331,	7.631785
1647000000.000000,	55.672365,	7.555532
1648000000.000000,	55.655883,	7.631495
1649000000.000000,	55.639426,	7.618355
1650000000.000000,	55.634921,	7.433000
1651000000.000000,	55.632064,	7.382952
1652000000.000000,	55.608396,	7.341620
1653000000.000000,	55.569646,	7.712870
1654000000.000000,	55.549477,	7.697953
1655000000.000000,	55.536734,	7.517796
1656000000.000000,	55.517413,	7.494852
1657000000.000000,	55.510134,	7.481618
1658000000.000000,	55.496790,	7.619175
1659000000.000000,	55.469985,	7.591007
1660000000.000000,	55.449749,	7.666791
1661000000.000000,	55.433042,	7.529929
1662000000.000000,	55.404972,	7.554379
1663000000.000000,	55.391083,	7.466220
1664000000.000000,	55.363161,	7.748118
1665000000.000000,	55.340486,	7.721087
1666000000.000000,	55.329922,	7.789894
1667000000.000000,	55.310856,	7.781379
1668000000.000000,	55.305334,	7.793415
1669000000.000000,	55.279479,	7.792628
1670000000.000000,	55.247733,	7.933680

