% f (Hz),	G_rec (dB),	T_e_rec (K)
1380875520.000000,	54.931622,	7.675907
1381874176.000000,	54.911357,	7.881986
1382872832.000000,	54.913005,	7.860440
1383871616.000000,	54.899468,	7.824326
1384870272.000000,	54.900198,	7.837880
1385869056.000000,	54.894504,	7.762491
1386867712.000000,	54.886084,	7.889864
1387866368.000000,	54.892800,	7.761672
1388865152.000000,	54.878361,	8.005666
1389863808.000000,	54.871940,	8.127270
1390862464.000000,	54.887506,	8.071695
1391861248.000000,	54.869340,	8.121953
1392859904.000000,	54.880767,	8.199440
1393858688.000000,	54.880370,	8.274408
1394857344.000000,	54.882485,	8.261015
1395856000.000000,	54.869880,	8.332328
1396854784.000000,	54.875382,	8.527986
1397853440.000000,	54.879478,	8.645670
1398852096.000000,	54.888245,	8.640274
1399850880.000000,	54.878866,	8.974666
1400849536.000000,	54.872518,	8.997168
1401848192.000000,	54.861213,	9.274137
1402846976.000000,	54.844792,	9.682463
1403845632.000000,	54.853965,	9.847704
1404844416.000000,	54.818523,	10.11627
1405843072.000000,	54.833272,	10.24900
1406841728.000000,	54.819850,	10.49900
1407840512.000000,	54.807650,	10.79808
1408839168.000000,	54.787282,	11.06739
1409837824.000000,	54.792390,	10.91098
1410836608.000000,	54.794976,	10.87743
1411835264.000000,	54.788484,	11.07768
1412833920.000000,	54.778963,	10.82171
1413832704.000000,	54.788808,	10.69652
1414831360.000000,	54.807387,	10.41661
1415830144.000000,	54.798679,	10.37576
1416828800.000000,	54.823400,	10.27725
1417827456.000000,	54.825048,	9.989021
1418826240.000000,	54.824189,	9.862015
1419824896.000000,	54.846044,	9.621217
1420823552.000000,	54.857417,	9.550475
1421822336.000000,	54.867769,	9.532766
1422820992.000000,	54.887460,	9.242128
1423819776.000000,	54.900353,	9.185724
1424818432.000000,	54.904689,	9.068951
1425817088.000000,	54.911454,	9.044082
1426815872.000000,	54.938340,	8.855007
1427814528.000000,	54.945900,	8.612181
1428813184.000000,	54.921710,	8.957702
1429811968.000000,	54.949004,	8.705339
1430810624.000000,	54.936225,	8.813640
1431809280.000000,	54.956213,	8.664734
1432808064.000000,	54.941577,	8.621608
1433806720.000000,	54.939423,	8.542922
1434805504.000000,	54.914307,	8.742310
1435804160.000000,	54.927107,	8.717962
1436802816.000000,	54.913042,	8.738493
1437801600.000000,	54.913622,	8.783830
1438800256.000000,	54.917740,	8.730591
1439798912.000000,	54.899323,	8.856326
1440797696.000000,	54.904746,	8.841106
1441796352.000000,	54.900591,	8.875651
1442795008.000000,	54.900297,	8.628875
1443793792.000000,	54.882480,	8.899583
1444792448.000000,	54.897379,	8.742141
1445791232.000000,	54.911162,	8.747826
1446789888.000000,	54.911301,	8.424303
1447788544.000000,	54.890464,	8.705229
1448787328.000000,	54.887179,	8.618993
1449785984.000000,	54.890288,	8.651435
1450784640.000000,	54.889796,	8.550693
1451783424.000000,	54.899052,	8.415785
1452782080.000000,	54.873504,	8.410698
1453780864.000000,	54.874342,	8.370955
1454779520.000000,	54.875315,	8.315208
1455778176.000000,	54.866865,	8.138990
1456776960.000000,	54.853378,	8.302183
1457775616.000000,	54.843126,	8.318394
1458774272.000000,	54.835003,	8.209928
1459773056.000000,	54.854773,	8.128436
1460771712.000000,	54.842639,	8.045559
1461770368.000000,	54.820995,	8.159380
1462769152.000000,	54.830247,	8.133361
1463767808.000000,	54.834652,	8.113173
1464766592.000000,	54.832275,	7.922167
1465765248.000000,	54.806774,	8.261201
1466763904.000000,	54.798480,	8.352971
1467762688.000000,	54.801627,	8.208742
1468761344.000000,	54.803061,	8.129648
1469760000.000000,	54.802965,	8.201402
1470758784.000000,	54.792009,	8.089802
1471757440.000000,	54.786159,	8.362707
1472756224.000000,	54.785165,	8.160282
1473754880.000000,	54.783690,	8.325931
1474753536.000000,	54.771540,	8.245530
1475752320.000000,	54.760595,	8.242318
1476750976.000000,	54.753280,	8.318066
1477749632.000000,	54.745631,	8.418349
1478748416.000000,	54.738543,	8.290167
1479747072.000000,	54.744729,	8.381304
1480745728.000000,	54.722514,	8.493843
1481744512.000000,	54.726239,	8.402819
1482743168.000000,	54.719885,	8.448151
1483741952.000000,	54.711539,	8.515043
1484740608.000000,	54.700381,	8.584582
1485739264.000000,	54.698551,	8.530551
1486738048.000000,	54.711664,	8.614357
1487736704.000000,	54.687357,	8.759844
1488735360.000000,	54.660113,	8.901606
1489734144.000000,	54.668610,	8.705560
1490732800.000000,	54.672207,	8.668193
1491731456.000000,	54.680924,	8.516728
1492730240.000000,	54.685684,	8.344508
1493728896.000000,	54.667350,	8.626456
1494727680.000000,	54.653393,	8.575560
1495726336.000000,	54.655288,	8.544848
1496724992.000000,	54.651058,	8.542345
1497723776.000000,	54.637819,	8.524945
1498722432.000000,	54.634008,	8.450373
1499721088.000000,	54.627130,	8.472121
1500719872.000000,	54.621089,	8.449081
1501718528.000000,	54.626915,	8.325834
1502717312.000000,	54.617129,	8.397415
1503715968.000000,	54.629884,	8.323730
1504714624.000000,	54.614857,	8.510492
1505713408.000000,	54.626451,	8.330753
1506712064.000000,	54.630184,	8.347726
1507710720.000000,	54.618047,	8.422350
1508709504.000000,	54.628244,	8.237841
1509708160.000000,	54.629354,	8.363371
1510706816.000000,	54.640883,	8.338685
1511705600.000000,	54.651200,	8.221437
1512704256.000000,	54.632745,	8.300815
1513703040.000000,	54.642863,	8.364265
1514701696.000000,	54.647485,	8.393002
1515700352.000000,	54.640066,	8.441887
1516699136.000000,	54.642592,	8.280036
1517697792.000000,	54.641852,	8.384825
1518696448.000000,	54.644814,	8.173606
1519695232.000000,	54.636705,	8.204859
1520693888.000000,	54.629737,	8.367151
1521692544.000000,	54.613182,	8.342797
1522691328.000000,	54.625025,	8.139434
1523689984.000000,	54.609301,	8.242594
1524688768.000000,	54.616351,	8.280093
1525687424.000000,	54.594149,	8.438424
1526686080.000000,	54.605761,	8.212227
1527684864.000000,	54.589944,	8.239420
1528683520.000000,	54.598894,	8.306879
1529682176.000000,	54.599894,	8.225583
1530680960.000000,	54.616877,	8.210884
1531679616.000000,	54.611876,	8.095057
1532678400.000000,	54.637683,	8.154508
1533677056.000000,	54.670166,	8.014935
1534675712.000000,	54.653055,	8.134444
1535674496.000000,	54.643015,	8.172588
1536673152.000000,	54.677671,	7.902119
1537671808.000000,	54.674973,	8.072423
1538670592.000000,	54.700302,	8.019238
1539669248.000000,	54.697504,	7.985237
1540667904.000000,	54.698309,	8.037747
1541666688.000000,	54.703001,	7.938127
1542665344.000000,	54.693389,	8.076011
1543664128.000000,	54.683188,	8.001949
1544662784.000000,	54.662517,	8.046655
1545661440.000000,	54.692392,	7.713491
1546660224.000000,	54.674747,	7.920252
1547658880.000000,	54.643910,	8.007008
1548657536.000000,	54.646929,	7.919005
1549656320.000000,	54.634806,	7.856868
1550654976.000000,	54.636517,	7.860759
1551653760.000000,	54.630885,	7.849036
1552652416.000000,	54.626112,	7.938045
1553651072.000000,	54.629438,	7.905698
1554649856.000000,	54.629816,	7.790810
1555648512.000000,	54.618552,	7.847387
1556647168.000000,	54.646328,	7.649527
1557645952.000000,	54.642242,	7.680961
1558644608.000000,	54.624241,	7.754287
1559643264.000000,	54.636611,	7.710502
1560642048.000000,	54.627815,	7.607729
1561640704.000000,	54.636246,	7.604714
1562639488.000000,	54.619572,	7.768114
1563638144.000000,	54.637367,	7.640380
1564636800.000000,	54.615481,	7.748395
1565635584.000000,	54.607935,	7.650384
1566634240.000000,	54.596506,	7.641815
1567632896.000000,	54.575375,	7.758155
1568631680.000000,	54.560420,	7.756302
1569630336.000000,	54.555696,	7.579284
1570628992.000000,	54.532310,	7.617068
1571627776.000000,	54.502195,	7.822793
1572626432.000000,	54.502641,	7.643528
1573625216.000000,	54.463886,	7.769552
1574623872.000000,	54.459088,	7.705835
1575622528.000000,	54.431208,	7.893602
1576621312.000000,	54.454129,	7.588723
1577619968.000000,	54.444120,	7.627754
1578618624.000000,	54.429097,	7.621837
1579617408.000000,	54.408283,	7.791845
1580616064.000000,	54.403016,	7.671047
1581614848.000000,	54.377015,	7.895645
1582613504.000000,	54.396940,	7.864435
1583612160.000000,	54.376373,	7.829052
1584610944.000000,	54.377814,	7.864926
1585609600.000000,	54.372600,	7.788770
1586608256.000000,	54.345627,	7.949658
1587607040.000000,	54.346373,	7.868719
1588605696.000000,	54.356345,	7.781828
1589604352.000000,	54.333285,	7.828776
