% f (Hz),G_rec (dB),T_e_rec (K)
1449000000,  54.61,   8.94
1450000000,  54.60,   9.03
1451000000,  54.60,   8.86
1452000000,  54.59,   8.98
1453000000,  54.58,   8.76
1454000000,  54.59,   8.87
1455000000,  54.59,   8.87
1456000000,  54.59,   8.59
1457000000,  54.58,   8.77
1458000000,  54.57,   8.62
1459000000,  54.57,   8.47
1460000000,  54.57,   8.63
1461000000,  54.58,   8.36
1462000000,  54.57,   8.54
1463000000,  54.56,   8.69
1464000000,  54.55,   8.59
1465000000,  54.55,   8.54
1466000000,  54.54,   8.44
1467000000,  54.54,   8.54
1468000000,  54.54,   8.43
1469000000,  54.53,   8.56
1470000000,  54.52,   8.58
1471000000,  54.51,   8.52
1472000000,  54.51,   8.39
1473000000,  54.51,   8.51
1474000000,  54.50,   8.46
1475000000,  54.49,   8.54
1476000000,  54.48,   8.51
1477000000,  54.49,   8.74
1478000000,  54.47,   8.61
1479000000,  54.47,   8.62
1480000000,  54.46,   8.53
1481000000,  54.46,   8.57
1482000000,  54.46,   8.58
1483000000,  54.46,   8.64
1484000000,  54.44,   8.64
1485000000,  54.44,   8.72
1486000000,  54.44,   8.63
1487000000,  54.43,   8.73
1488000000,  54.44,   8.63
1489000000,  54.41,   8.79
1490000000,  54.41,   8.96
1491000000,  54.41,   8.74
1492000000,  54.40,   8.83
1493000000,  54.40,   8.72
1494000000,  54.39,   8.78
1495000000,  54.38,   8.82
1496000000,  54.38,   8.91
1497000000,  54.37,   8.78
1498000000,  54.36,   8.87
1499000000,  54.36,   8.84
1500000000,  54.34,   8.88
1501000000,  54.34,   8.89
1502000000,  54.35,   8.87
1503000000,  54.34,   9.07
1504000000,  54.33,   8.92
1505000000,  54.33,   8.96
1506000000,  54.32,   8.92
1507000000,  54.33,   8.90
1508000000,  54.33,   8.83
1509000000,  54.31,   8.94
1510000000,  54.32,   8.81
1511000000,  54.32,   8.93
1512000000,  54.32,   8.83
1513000000,  54.31,   9.11
1514000000,  54.31,   8.91
1515000000,  54.30,   8.79
1516000000,  54.30,   8.93
1517000000,  54.30,   8.94
1518000000,  54.30,   8.93
1519000000,  54.29,   8.82
1520000000,  54.29,   8.97
1521000000,  54.28,   8.83
1522000000,  54.28,   8.79
1523000000,  54.28,   8.83
1524000000,  54.28,   8.91
1525000000,  54.27,   8.83
1526000000,  54.27,   8.83
1527000000,  54.27,   8.82
1528000000,  54.27,   8.74
1529000000,  54.27,   8.83
1530000000,  54.26,   8.84
1531000000,  54.27,   8.83
1532000000,  54.26,   8.81
1533000000,  54.26,   8.77
1534000000,  54.26,   8.88
1535000000,  54.26,   8.89
1536000000,  54.25,   8.71
1537000000,  54.25,   8.80
1538000000,  54.25,   8.91
1539000000,  54.24,   8.93
1540000000,  54.24,   8.75
1541000000,  54.24,   8.84
1542000000,  54.24,   8.59
1543000000,  54.23,   8.69
1544000000,  54.23,   8.64
1545000000,  54.22,   8.70
1546000000,  54.23,   8.69
1547000000,  54.22,   8.67
1548000000,  54.22,   8.66
1549000000,  54.21,   8.54
1550000000,  54.22,   8.51
