#RxL_SN4004_calculated_noise_V_chan
# f (Hz),T_e_cal (K)
1595000000,  20.60
1596000000,  20.74
1597000000,  20.86
1598000000,  20.81
1599000000,  20.89
1600000000,  20.96
1601000000,  21.03
1602000000,  21.03
1603000000,  21.06
1604000000,  21.13
1605000000,  21.16
1606000000,  21.21
1607000000,  21.36
1608000000,  21.40
1609000000,  21.24
1610000000,  21.29
1611000000,  21.44
1612000000,  21.38
1613000000,  21.35
1614000000,  21.46
1615000000,  21.52
1616000000,  21.66
1617000000,  21.79
1618000000,  21.66
1619000000,  21.50
1620000000,  21.47
1621000000,  21.56
1622000000,  21.68
1623000000,  21.68
1624000000,  21.61
1625000000,  21.50
1626000000,  21.56
1627000000,  21.60
1628000000,  21.63
1629000000,  21.69
1630000000,  21.65
1631000000,  21.67
1632000000,  21.70
1633000000,  21.76
1634000000,  21.66
1635000000,  21.46
1636000000,  21.64
1637000000,  21.73
1638000000,  21.52
1639000000,  21.57
1640000000,  21.51
1641000000,  21.48
1642000000,  21.40
1643000000,  21.31
1644000000,  21.33
1645000000,  21.34
1646000000,  21.33
1647000000,  21.29
1648000000,  21.24
1649000000,  21.31
1650000000,  21.31
1651000000,  21.18
1652000000,  21.03
1653000000,  21.09
1654000000,  21.13
1655000000,  21.16
1656000000,  21.29
1657000000,  21.19
1658000000,  21.11
1659000000,  21.13
1660000000,  21.08
1661000000,  21.05
1662000000,  20.98
1663000000,  20.84
1664000000,  20.83
1665000000,  20.75
1666000000,  20.70
1667000000,  20.77
1668000000,  20.81
1669000000,  20.81
1670000000,  20.83
