% f (Hz),	G_rec (dB),	T_e_rec (K)	
1235064832.000000,	56.741045,	7.384175
1236063616.000000,	56.754289,	7.426344
1237062272.000000,	56.758330,	7.408205
1238060928.000000,	56.762731,	7.472460
1239059712.000000,	56.759912,	7.542550
1240058368.000000,	56.773627,	7.469511
1241057024.000000,	56.784365,	7.465445
1242055808.000000,	56.773985,	7.413798
1243054464.000000,	56.790599,	7.514435
1244053120.000000,	56.819170,	7.351763
1245051904.000000,	56.816517,	7.573379
1246050560.000000,	56.835027,	7.543238
1247049344.000000,	56.848431,	7.498481
1248048000.000000,	56.861728,	7.541881
1249046656.000000,	56.884411,	7.488614
1250045440.000000,	56.881277,	7.554143
1251044096.000000,	56.908645,	7.542412
1252042752.000000,	56.915998,	7.487846
1253041536.000000,	56.932413,	7.430594
1254040192.000000,	56.941917,	7.521004
1255038848.000000,	56.948155,	7.553090
1256037632.000000,	56.951617,	7.566224
1257036288.000000,	56.960373,	7.638665
1258035072.000000,	56.982086,	7.437799
1259033728.000000,	56.958871,	7.639348
1260032384.000000,	56.975190,	7.526389
1261031168.000000,	56.988798,	7.544525
1262029824.000000,	56.972926,	7.600541
1263028480.000000,	56.986946,	7.593750
1264027264.000000,	56.992457,	7.604852
1265025920.000000,	57.000286,	7.585260
1266024704.000000,	57.019211,	7.684150
1267023360.000000,	57.019698,	7.667902
1268022016.000000,	57.041661,	7.619661
1269020800.000000,	57.039310,	7.609993
1270019456.000000,	57.069193,	7.486336
1271018112.000000,	57.080880,	7.511370
1272016896.000000,	57.075882,	7.511760
1273015552.000000,	57.092063,	7.584830
1274014208.000000,	57.113611,	7.497927
1275012992.000000,	57.113725,	7.637197
1276011648.000000,	57.124294,	7.603972
1277010432.000000,	57.131414,	7.544291
1278009088.000000,	57.137053,	7.636615
1279007744.000000,	57.151300,	7.578331
1280006528.000000,	57.166604,	7.429211
1281005184.000000,	57.171365,	7.489316
1282003840.000000,	57.165204,	7.617829
1283002624.000000,	57.164494,	7.434998
1284001280.000000,	57.171519,	7.511665
1285000064.000000,	57.171480,	7.488571
1285998720.000000,	57.200952,	7.344325
1286997376.000000,	57.187619,	7.440430
1287996160.000000,	57.184067,	7.413526
1288994816.000000,	57.212362,	7.205853
1289993472.000000,	57.205439,	7.433697
1290992256.000000,	57.214260,	7.180211
1291990912.000000,	57.236601,	7.074928
1292989568.000000,	57.220731,	7.228233
1293988352.000000,	57.246799,	7.153925
1294987008.000000,	57.240280,	7.176969
1295985792.000000,	57.232108,	7.383761
1296984448.000000,	57.251032,	7.130648
1297983104.000000,	57.238183,	7.243144
1298981888.000000,	57.270175,	6.947632
1299980544.000000,	57.255896,	7.077519
1300979200.000000,	57.252422,	7.074565
1301977984.000000,	57.252524,	7.080074
1302976640.000000,	57.248733,	7.070972
1303975296.000000,	57.247023,	7.072638
1304974080.000000,	57.254526,	6.841761
1305972736.000000,	57.236539,	7.030824
1306971520.000000,	57.243684,	6.944000
1307970176.000000,	57.236464,	6.887095
1308968832.000000,	57.239180,	6.871146
1309967616.000000,	57.227157,	6.944053
1310966272.000000,	57.224840,	6.838357
1311964928.000000,	57.216803,	6.872376
1312963712.000000,	57.197337,	7.021410
1313962368.000000,	57.207836,	6.816692
1314961152.000000,	57.200669,	6.795946
1315959808.000000,	57.222310,	6.671076
1316958464.000000,	57.192815,	6.874306
1317957248.000000,	57.200425,	6.682653
1318955904.000000,	57.192668,	6.791468
1319954560.000000,	57.186305,	6.793588
1320953344.000000,	57.189225,	6.631326
1321952000.000000,	57.191496,	6.706811
1322950656.000000,	57.197442,	6.576913
1323949440.000000,	57.188151,	6.707869
1324948096.000000,	57.167090,	6.705341
1325946880.000000,	57.163557,	6.752890
1326945536.000000,	57.151908,	6.680522
1327944192.000000,	57.165783,	6.624896
1328942976.000000,	57.152227,	6.580364
1329941632.000000,	57.146267,	6.567611
1330940288.000000,	57.146355,	6.648538
1331939072.000000,	57.152055,	6.419980
1332937728.000000,	57.132929,	6.599183
1333936384.000000,	57.126315,	6.620911
1334935168.000000,	57.103100,	6.758768
1335933824.000000,	57.094484,	6.692972
1336932608.000000,	57.109579,	6.628677
1337931264.000000,	57.094561,	6.735475
1338929920.000000,	57.087390,	6.723271
1339928704.000000,	57.072401,	6.710159
1340927360.000000,	57.075378,	6.666629
1341926016.000000,	57.069763,	6.717069
1342924800.000000,	57.064645,	6.755137
1343923456.000000,	57.076953,	6.505381
1344922240.000000,	57.066730,	6.661808
1345920896.000000,	57.058020,	6.686027
1346919552.000000,	57.050150,	6.740493
1347918336.000000,	57.036073,	6.824136
1348916992.000000,	57.038486,	6.867337
1349915648.000000,	57.032035,	6.754545
1350914432.000000,	57.024497,	6.731862
1351913088.000000,	57.033268,	6.724402
1352911744.000000,	57.026708,	6.748186
1353910528.000000,	57.012409,	6.932001
1354909184.000000,	56.997814,	6.899725
1355907968.000000,	56.986437,	6.894773
1356906624.000000,	57.000843,	7.014036
1357905280.000000,	56.987035,	6.866693
1358904064.000000,	56.963351,	7.042720
1359902720.000000,	56.960955,	6.871633
1360901376.000000,	56.944225,	6.949601
1361900160.000000,	56.943661,	6.906664
1362898816.000000,	56.950037,	6.712492
1363897472.000000,	56.954321,	6.690831
1364896256.000000,	56.935810,	6.799058
1365894912.000000,	56.932258,	6.869055
1366893696.000000,	56.932332,	6.824403
1367892352.000000,	56.927788,	6.896360
1368891008.000000,	56.934999,	6.945993
1369889792.000000,	56.921255,	6.985197
1370888448.000000,	56.924649,	7.119880
1371887104.000000,	56.939050,	6.923372
1372885888.000000,	56.944341,	6.849571
1373884544.000000,	56.940237,	6.913710
1374883328.000000,	56.954827,	6.804754
1375881984.000000,	56.942730,	6.946732
1376880640.000000,	56.935286,	7.025484
1377879424.000000,	56.955785,	6.741483
1378878080.000000,	56.929633,	7.041662
1379876736.000000,	56.931937,	7.015626
1380875520.000000,	56.930911,	6.981748
1381874176.000000,	56.933321,	6.858215
1382872832.000000,	56.925585,	6.976433
1383871616.000000,	56.908720,	7.032053
1384870272.000000,	56.894200,	7.181585
1385869056.000000,	56.904765,	7.015821
1386867712.000000,	56.889721,	7.106010
1387866368.000000,	56.893353,	7.113463
1388865152.000000,	56.891362,	7.040861
1389863808.000000,	56.874390,	7.205103
1390862464.000000,	56.868031,	7.210752
1391861248.000000,	56.867142,	7.117219
1392859904.000000,	56.889887,	7.057317
1393858688.000000,	56.877382,	7.203560
1394857344.000000,	56.873329,	7.291268
1395856000.000000,	56.867244,	7.372877
1396854784.000000,	56.888400,	7.316666
1397853440.000000,	56.866201,	7.437742
1398852096.000000,	56.881973,	7.451914
1399850880.000000,	56.872431,	7.440612
1400849536.000000,	56.879877,	7.468325
1401848192.000000,	56.850223,	7.660645
1402846976.000000,	56.862305,	7.715022
1403845632.000000,	56.854649,	7.693406
1404844416.000000,	56.836822,	7.799398
1405843072.000000,	56.824088,	7.959314
1406841728.000000,	56.805981,	8.122370
1407840512.000000,	56.800925,	8.143010
1408839168.000000,	56.783299,	8.342589
1409837824.000000,	56.769115,	8.441449
1410836608.000000,	56.745344,	8.632872
1411835264.000000,	56.746948,	8.628416
1412833920.000000,	56.746721,	8.611861
1413832704.000000,	56.751949,	8.505658
1414831360.000000,	56.735811,	8.712700
1415830144.000000,	56.750666,	8.553446
1416828800.000000,	56.731055,	8.681458
1417827456.000000,	56.735609,	8.516153
1418826240.000000,	56.715400,	8.517197
1419824896.000000,	56.727322,	8.513429
1420823552.000000,	56.760910,	8.366585
1421822336.000000,	56.748391,	8.379294
1422820992.000000,	56.758669,	8.290783
1423819776.000000,	56.754551,	8.338515
1424818432.000000,	56.764930,	8.261729
1425817088.000000,	56.755158,	8.411310
1426815872.000000,	56.755497,	8.155937
1427814528.000000,	56.752890,	8.232243
1428813184.000000,	56.758350,	8.281438
1429811968.000000,	56.760203,	8.138196
1430810624.000000,	56.740306,	8.149545
1431809280.000000,	56.733717,	8.184134
1432808064.000000,	56.729202,	8.140524
1433806720.000000,	56.744105,	8.060801
1434805504.000000,	56.711974,	8.178460
1435804160.000000,	56.713590,	8.121303
1436802816.000000,	56.681810,	8.154746
1437801600.000000,	56.684867,	8.276039
1438800256.000000,	56.692862,	8.010254
1439798912.000000,	56.677260,	8.140497
1440797696.000000,	56.695078,	8.051732
1441796352.000000,	56.684537,	8.109771
1442795008.000000,	56.678353,	8.051337
1443793792.000000,	56.679989,	7.998896
1444792448.000000,	56.658760,	8.033412
1445791232.000000,	56.669424,	7.990753
1446789888.000000,	56.657352,	7.912689
1447788544.000000,	56.680855,	7.811917
1448787328.000000,	56.656121,	7.832509
1449785984.000000,	56.646621,	7.835313
1450784640.000000,	56.652078,	7.703574
1451783424.000000,	56.642128,	7.850901
1452782080.000000,	56.617269,	7.851592
1453780864.000000,	56.617913,	7.698949
1454779520.000000,	56.615922,	7.668479
1455778176.000000,	56.596676,	7.724948
1456776960.000000,	56.595693,	7.694925
1457775616.000000,	56.595747,	7.561868
1458774272.000000,	56.576120,	7.627651
1459773056.000000,	56.574209,	7.518681
1460771712.000000,	56.573973,	7.528672
1461770368.000000,	56.573276,	7.577244
1462769152.000000,	56.557634,	7.476415
1463767808.000000,	56.571759,	7.507845
