% f (Hz),	G_rec (dB),	T_e_rec (K)
1471000000.000000,	58.723624,	7.619183
1472000000.000000,	58.729789,	7.585256
1473000000.000000,	58.704058,	7.532842
1474000000.000000,	58.693013,	7.723284
1475000000.000000,	58.690057,	7.572871
1476000000.000000,	58.685184,	7.423738
1477000000.000000,	58.690538,	7.418548
1478000000.000000,	58.679300,	7.665126
1479000000.000000,	58.672091,	7.416055
1480000000.000000,	58.682904,	7.471881
1481000000.000000,	58.679406,	7.357278
1482000000.000000,	58.684724,	7.355668
1483000000.000000,	58.685994,	7.289958
1484000000.000000,	58.677378,	7.505657
1485000000.000000,	58.683660,	7.494470
1486000000.000000,	58.692337,	7.463386
1487000000.000000,	58.712567,	7.376064
1488000000.000000,	58.692077,	7.395307
1489000000.000000,	58.695712,	7.476916
1490000000.000000,	58.693834,	7.507977
1491000000.000000,	58.703952,	7.466300
1492000000.000000,	58.711828,	7.243399
1493000000.000000,	58.700812,	7.341637
1494000000.000000,	58.719008,	7.381697
1495000000.000000,	58.688831,	7.399283
1496000000.000000,	58.678480,	7.285425
1497000000.000000,	58.670326,	7.338534
1498000000.000000,	58.667583,	7.487858
1499000000.000000,	58.672388,	7.373039
1500000000.000000,	58.649005,	7.436287
1501000000.000000,	58.640737,	7.542992
1502000000.000000,	58.649857,	7.403205
1503000000.000000,	58.651176,	7.420917
1504000000.000000,	58.631426,	7.519273
1505000000.000000,	58.617603,	7.541774
1506000000.000000,	58.618807,	7.513530
1507000000.000000,	58.642971,	7.350491
1508000000.000000,	58.631394,	7.475098
1509000000.000000,	58.624516,	7.554460
1510000000.000000,	58.647195,	7.359402
1511000000.000000,	58.646793,	7.362853
1512000000.000000,	58.626241,	7.452937
1513000000.000000,	58.645068,	7.409873
1514000000.000000,	58.611434,	7.645106
1515000000.000000,	58.619193,	7.582442
1516000000.000000,	58.614490,	7.643731
1517000000.000000,	58.603800,	7.601056
1518000000.000000,	58.602872,	7.611153
1519000000.000000,	58.578838,	7.587711
1520000000.000000,	58.579498,	7.505567
1521000000.000000,	58.562168,	7.639961
1522000000.000000,	58.549373,	7.624318
1523000000.000000,	58.528222,	7.586149
1524000000.000000,	58.518526,	7.603671
1525000000.000000,	58.502847,	7.654906
1526000000.000000,	58.473184,	7.656519
1527000000.000000,	58.497392,	7.627871
1528000000.000000,	58.478271,	7.671169
1529000000.000000,	58.457261,	7.788338
1530000000.000000,	58.459182,	7.710232
1531000000.000000,	58.446819,	7.719772
1532000000.000000,	58.452919,	7.670986
1533000000.000000,	58.444611,	7.630762
1534000000.000000,	58.457093,	7.600771
1535000000.000000,	58.464790,	7.718777
1536000000.000000,	58.436819,	7.635780
1537000000.000000,	58.449023,	7.568169
1538000000.000000,	58.435029,	7.657127
1539000000.000000,	58.431869,	7.650993
1540000000.000000,	58.409712,	7.406385
1541000000.000000,	58.398058,	7.609896
1542000000.000000,	58.382646,	7.633843
1543000000.000000,	58.369781,	7.520026
1544000000.000000,	58.334728,	7.557456
1545000000.000000,	58.321322,	7.536692
1546000000.000000,	58.283493,	7.496828
1547000000.000000,	58.264397,	7.634799
1548000000.000000,	58.212305,	7.522854
1549000000.000000,	58.192897,	7.540668
1550000000.000000,	58.186534,	7.441141
1551000000.000000,	58.146867,	7.390338
1552000000.000000,	58.124605,	7.336664
1553000000.000000,	58.102752,	7.395467
1554000000.000000,	58.061601,	7.507894
1555000000.000000,	58.049570,	7.302763
1556000000.000000,	58.018490,	7.434291
1557000000.000000,	58.003720,	7.413639
1558000000.000000,	57.986544,	7.350992
1559000000.000000,	57.986161,	7.249510
1560000000.000000,	57.943163,	7.390874
1561000000.000000,	57.916126,	7.289087
1562000000.000000,	57.891306,	7.570768
1563000000.000000,	57.890521,	7.253991
1564000000.000000,	57.847153,	7.332459
1565000000.000000,	57.844830,	7.278038
1566000000.000000,	57.810707,	7.217543
1567000000.000000,	57.774450,	7.343652
1568000000.000000,	57.748407,	7.197369
1569000000.000000,	57.711700,	7.369615
1570000000.000000,	57.693698,	7.230977
1571000000.000000,	57.637420,	7.365174
1572000000.000000,	57.628249,	7.242539
1573000000.000000,	57.597505,	7.130080
1574000000.000000,	57.536487,	7.337645
1575000000.000000,	57.529106,	7.227647
1576000000.000000,	57.499342,	7.324181
1577000000.000000,	57.480987,	7.398935
1578000000.000000,	57.445662,	7.418949
1579000000.000000,	57.437723,	7.144405
1580000000.000000,	57.426845,	7.211891
1581000000.000000,	57.398016,	7.309481
1582000000.000000,	57.390631,	7.085181
1583000000.000000,	57.349971,	7.456876
1584000000.000000,	57.338976,	7.134749
1585000000.000000,	57.321021,	7.239331
1586000000.000000,	57.293057,	7.429621
1587000000.000000,	57.287073,	7.238497
1588000000.000000,	57.273442,	7.172111
1589000000.000000,	57.256692,	7.277801
1590000000.000000,	57.218490,	7.527415
1591000000.000000,	57.199681,	7.308939
1592000000.000000,	57.189970,	7.424601
1593000000.000000,	57.170172,	7.483217
1594000000.000000,	57.138508,	7.454360
1595000000.000000,	57.139937,	7.338850
1596000000.000000,	57.082706,	7.369940
1597000000.000000,	57.102176,	7.334028
1598000000.000000,	57.064472,	7.309367
