% f (Hz),G_rec (dB),T_e_rec (K)
1504000000,  54.29,   9.22
1505000000,  54.28,   8.90
1506000000,  54.28,   9.10
1507000000,  54.28,   8.98
1508000000,  54.29,   9.15
1509000000,  54.26,   9.20
1510000000,  54.27,   9.06
1511000000,  54.26,   8.99
1512000000,  54.27,   8.97
1513000000,  54.26,   9.11
1514000000,  54.26,   9.18
1515000000,  54.25,   8.98
1516000000,  54.25,   8.95
1517000000,  54.25,   9.16
1518000000,  54.25,   9.09
1519000000,  54.24,   9.08
1520000000,  54.24,   9.03
1521000000,  54.23,   8.99
1522000000,  54.23,   9.14
1523000000,  54.23,   8.96
1524000000,  54.23,   8.80
1525000000,  54.23,   8.87
1526000000,  54.23,   8.86
1527000000,  54.23,   8.94
1528000000,  54.22,   8.94
1529000000,  54.22,   8.99
1530000000,  54.21,   8.92
1531000000,  54.22,   9.02
1532000000,  54.21,   8.82
1533000000,  54.20,   9.01
1534000000,  54.20,   8.82
1535000000,  54.20,   8.81
1536000000,  54.20,   8.83
1537000000,  54.20,   8.86
1538000000,  54.20,   8.81
1539000000,  54.19,   8.82
1540000000,  54.18,   8.78
1541000000,  54.19,   8.67
1542000000,  54.19,   8.75
1543000000,  54.18,   8.63
1544000000,  54.18,   8.79
1545000000,  54.17,   8.62
1546000000,  54.17,   8.46
1547000000,  54.17,   8.65
1548000000,  54.17,   8.64
1549000000,  54.16,   8.64
1550000000,  54.17,   8.61
1551000000,  54.15,   8.46
1552000000,  54.14,   8.59
1553000000,  54.15,   8.69
1554000000,  54.14,   8.65
1555000000,  54.14,   8.43
1556000000,  54.13,   8.37
1557000000,  54.13,   8.35
1558000000,  54.13,   8.52
1559000000,  54.12,   8.37
1560000000,  54.12,   8.25
1561000000,  54.11,   8.30
1562000000,  54.11,   8.29
1563000000,  54.10,   8.49
1564000000,  54.09,   8.30
1565000000,  54.09,   8.19
1566000000,  54.08,   8.19
1567000000,  54.06,   8.42
1568000000,  54.06,   8.44
1569000000,  54.07,   8.34
1570000000,  54.05,   8.36
1571000000,  54.03,   8.30
1572000000,  54.04,   8.39
1573000000,  54.03,   8.35
1574000000,  54.02,   8.19
1575000000,  54.01,   8.25
1576000000,  54.01,   8.29
1577000000,  53.99,   8.33
1578000000,  53.99,   8.44
1579000000,  53.98,   8.21
1580000000,  53.97,   8.29
1581000000,  53.96,   8.30
1582000000,  53.95,   8.32
1583000000,  53.93,   8.29
1584000000,  53.92,   8.35
1585000000,  53.92,   8.37
1586000000,  53.90,   8.39
1587000000,  53.89,   8.40
1588000000,  53.88,   8.43
1589000000,  53.86,   8.48
1590000000,  53.85,   8.26
1591000000,  53.84,   8.55
1592000000,  53.82,   8.48
1593000000,  53.80,   8.62
1594000000,  53.79,   8.56
1595000000,  53.78,   8.54
1596000000,  53.77,   8.52
1597000000,  53.74,   8.52
1598000000,  53.73,   8.54
1599000000,  53.71,   8.43
1600000000,  53.71,   8.70
1601000000,  53.68,   8.75
1602000000,  53.66,   8.60
1603000000,  53.65,   8.75
1604000000,  53.63,   8.76
1605000000,  53.61,   8.76
1606000000,  53.59,   8.78
1607000000,  53.58,   8.57
1608000000,  53.56,   8.81
1609000000,  53.54,   8.72
1610000000,  53.52,   8.75
1611000000,  53.52,   8.77
1612000000,  53.50,   8.86
1613000000,  53.48,   8.89
1614000000,  53.47,   8.98
1615000000,  53.45,   8.86
1616000000,  53.44,   8.85
1617000000,  53.43,   9.13
1618000000,  53.42,   8.93
1619000000,  53.41,   8.96
1620000000,  53.39,   9.12
1621000000,  53.37,   8.94
1622000000,  53.37,   9.00
1623000000,  53.35,   9.15
1624000000,  53.34,   9.05
1625000000,  53.33,   9.15
1626000000,  53.32,   9.21
1627000000,  53.31,   9.23
1628000000,  53.30,   9.32
1629000000,  53.28,   9.36
1630000000,  53.27,   9.32
1631000000,  53.28,   9.52
1632000000,  53.26,   9.46
1633000000,  53.26,   9.46
1634000000,  53.24,   9.45
1635000000,  53.24,   9.50
1636000000,  53.24,   9.44
1637000000,  53.23,   9.56
1638000000,  53.22,   9.59
1639000000,  53.22,   9.53
1640000000,  53.22,   9.44
1641000000,  53.23,   9.47
1642000000,  53.22,   9.52
1643000000,  53.22,   9.40
1644000000,  53.21,   9.43
1645000000,  53.21,   9.49
1646000000,  53.22,   9.38
1647000000,  53.22,   9.52
1648000000,  53.21,   9.45
1649000000,  53.22,   9.50
1650000000,  53.22,   9.29
1651000000,  53.23,   9.06
1652000000,  53.23,   9.35
1653000000,  53.23,   9.44
1654000000,  53.23,   9.32
1655000000,  53.23,   9.12
1656000000,  53.22,   9.32
1657000000,  53.23,   9.25
1658000000,  53.23,   9.28
1659000000,  53.23,   9.34
1660000000,  53.23,   9.34
1661000000,  53.24,   9.28
1662000000,  53.24,   9.32
1663000000,  53.26,   9.44
1664000000,  53.25,   9.21
1665000000,  53.27,   9.30
1666000000,  53.27,   9.27
1667000000,  53.28,   9.17
1668000000,  53.29,   9.20
1669000000,  53.30,   9.43
1670000000,  53.30,   9.25
