% f (Hz),G_rec (dB),T_e_rec (K)
1556000000,  56.99,   9.17
1557000000,  56.99,   9.33
1558000000,  56.98,   9.28
1559000000,  56.98,   9.15
1560000000,  56.97,   9.17
1561000000,  56.96,   9.16
1562000000,  56.95,   9.18
1563000000,  56.94,   9.14
1564000000,  56.93,   9.21
1565000000,  56.92,   9.19
1566000000,  56.91,   9.13
1567000000,  56.89,   9.19
1568000000,  56.88,   9.11
1569000000,  56.89,   9.17
1570000000,  56.86,   9.13
1571000000,  56.83,   9.04
1572000000,  56.83,   9.15
1573000000,  56.82,   9.13
1574000000,  56.80,   9.19
1575000000,  56.78,   9.21
1576000000,  56.78,   8.99
1577000000,  56.76,   9.07
1578000000,  56.75,   9.18
1579000000,  56.74,   9.28
1580000000,  56.73,   9.19
1581000000,  56.71,   9.10
1582000000,  56.70,   9.13
1583000000,  56.68,   9.17
1584000000,  56.68,   9.11
1585000000,  56.67,   9.18
1586000000,  56.66,   9.22
1587000000,  56.65,   9.15
1588000000,  56.64,   9.11
1589000000,  56.62,   9.20
1590000000,  56.61,   9.25
1591000000,  56.60,   9.19
1592000000,  56.58,   9.21
1593000000,  56.57,   9.33
1594000000,  56.56,   9.40
1595000000,  56.55,   9.31
1596000000,  56.54,   9.30
1597000000,  56.53,   9.25
1598000000,  56.52,   9.34
1599000000,  56.50,   9.35
1600000000,  56.51,   9.21
1601000000,  56.49,   9.21
1602000000,  56.47,   9.29
1603000000,  56.46,   9.35
1604000000,  56.46,   9.27
1605000000,  56.45,   9.26
1606000000,  56.43,   9.40
1607000000,  56.42,   9.37
1608000000,  56.41,   9.28
1609000000,  56.40,   9.37
1610000000,  56.38,   9.40
1611000000,  56.38,   9.42
1612000000,  56.36,   9.37
1613000000,  56.35,   9.46
1614000000,  56.34,   9.43
1615000000,  56.33,   9.40
1616000000,  56.31,   9.44
1617000000,  56.30,   9.43
1618000000,  56.29,   9.48
1619000000,  56.29,   9.53
1620000000,  56.27,   9.66
1621000000,  56.25,   9.67
1622000000,  56.25,   9.63
1623000000,  56.24,   9.58
1624000000,  56.23,   9.59
