|#SOURCE_ID|RA|DEC|NVSS_FLUX|INT_SPEC_INDX|3C_NAME|PKS_JNAME|PKS_1410_FLUX|PKS_635_FLUX|PKS_408_FLUX|PKS_SPEC_INDX 
540|505886|266.808974|-28.445466|1.184863|0.972387|No-3C|No-PKS|0.0|0.0|0.0|0.0
541|505887|266.834541|-28.380962|4.30636|1.464313|No-3C|No-PKS|0.0|0.0|0.0|0.0
542|505888|266.837739|-28.419271|6.183379|1.441196|No-3C|No-PKS|0.0|0.0|0.0|0.0
543|505918|266.837038|-28.156149|2.315081|0.154507|No-3C|No-PKS|0.0|0.0|0.0|0.0
544|505937|267.173733|-28.026097|2.546295|-0.001754|No-3C|No-PKS|0.0|0.0|0.0|0.0
545|506047|267.514657|-26.84186|1.06533|1.023203|No-3C|No-PKS|0.0|0.0|0.0|0.0
546|506123|268.420653|-26.110926|1.23757|1.203124|No-3C|No-PKS|0.0|0.0|0.0|0.0
547|507482|298.126124|-1.290413|1.620158|-0.510694|No-3C|PKS-J1952-0117|1.5|0.0|4.4|-0.942568
548|508725|342.694662|7.035163|1.620744|-0.560607|No-3C|PKS-J2250+0702|1.6|0.0|4.11|-0.577464
549|509977|140.927939|-9.589775|1.074666|-0.603583|No-3C|PKS-J0923-0935|0.0|0.0|2.23|0.0
550|510795|50.616624|-38.812029|1.009615|-0.564697|No-3C|PKS-J0322-3848|0.9|1.5|2.34|-0.643736
551|513804|184.37272|3.611342|1.301346|-0.73313|No-3C|PKS-J1217+0338|1.3|5.7|7.8|-0.856181
552|513809|184.41497|3.664696|1.117311|-0.948835|No-3C|PKS-J1217+0338|1.3|5.7|7.8|-0.856181
553|514155|184.894117|5.830178|4.533168|-0.576862|3C270|PKS-J1219+0549|17.2|0.0|41.5|-0.606479
554|514156|184.809032|5.827205|5.66914|-0.576108|3C270|PKS-J1219+0549|17.2|0.0|41.5|-0.606479
556|514657|123.681637|12.969403|1.633089|-0.646878|No-3C|PKS-J0814+1257|1.7|0.0|3.68|-0.429616
557|514979|121.403018|-0.970719|1.402088|-0.720713|No-3C|PKS-J0805-0058|1.2|3.4|5.8|-0.810491
558|518536|118.076393|-26.454184|1.653138|0.353119|No-3C|PKS-J0752-2625|11.3|0.0|17.2|-0.432084
559|521946|126.82214|-20.43978|3.766758|-0.686151|No-3C|PKS-J0827-2026|3.1|0.0|10.3|-0.766891
560|521970|129.163623|-20.283026|2.009997|0.028649|No-3C|PKS-J0836-2016|3.3|0.0|3.53|0.067099
561|522015|129.296775|-19.865548|4.823045|-0.211919|No-3C|PKS-J0837-1951|4.6|0.0|10.8|-0.117636
562|523273|251.759985|-7.259505|1.164163|-0.762681|No-3C|PKS-J1647-0715|1.4|0.0|3.46|-0.710561
563|523418|252.926416|-6.296219|1.159105|-0.851399|No-3C|PKS-J1651-0618|1.9|0.0|5.73|-0.28183
564|523889|67.765768|20.626124|3.846088|0.293707|No-3C|PKS-J0431+2037|3.8|4.5|0.0|-0.238833
565|523981|66.067193|21.441802|1.151518|-0.6099|No-3C|PKS-J0424+2126|0.0|2.7|0.0|-0.740486
566|523993|67.194355|21.558703|1.370599|-0.450337|No-3C|PKS-J0428+2133|1.1|1.3|0.0|-0.500281
567|524515|48.19356|-14.831399|2.24139|-0.739348|No-3C|PKS-J0312-1450|2.0|0.0|6.1|-0.747796
568|524772|263.261073|-13.080334|6.15928|-0.098656|No-3C|PKS-J1733-1304|5.2|0.0|6.58|-0.134985
569|527653|167.833675|19.926667|1.212662|0.797407|No-3C|PKS-J1111+1955|0.0|0.0|0.0|0.0
570|527786|166.359058|20.871456|1.012575|-0.242002|No-3C|PKS-J1105+2052|0.9|1.9|0.0|-0.847526
571|533860|347.674841|7.586455|1.645674|-0.706257|No-3C|PKS-J2310+0735|1.7|0.0|3.88|-0.765332
573|534145|348.117298|9.324577|2.549856|-0.76465|3C456|PKS-J2312+0919|2.5|0.0|6.25|-0.799427
574|534308|284.104336|2.373737|2.579146|1.119377|No-3C|No-PKS|0.0|0.0|0.0|0.0
575|534419|284.509749|3.221152|1.10934|-0.201943|No-3C|No-PKS|0.0|0.0|0.0|0.0
577|534560|285.255148|4.201998|2.558082|0.939824|No-3C|No-PKS|0.0|0.0|0.0|0.0
578|534565|285.472485|4.213977|2.13008|1.563087|No-3C|No-PKS|0.0|0.0|0.0|0.0
579|534752|285.803287|5.594737|1.229105|1.083111|3C396|No-PKS|0.0|0.0|0.0|0.0
580|535190|138.016629|16.308198|1.40885|-0.835722|No-3C|PKS-J0912+1618|1.1|0.0|4.48|-0.930216
581|535336|138.520287|17.264553|1.534068|-0.786882|No-3C|PKS-J0914+1715|1.3|0.0|4.44|-0.829826
582|535440|140.046464|17.89024|1.086527|-0.749364|No-3C|PKS-J0920+1753|1.0|0.0|3.21|-0.780608
583|536802|274.085408|-16.848874|1.367923|1.314658|No-3C|No-PKS|0.0|0.0|0.0|0.0
584|536816|275.046726|-16.711732|2.441928|1.298196|No-3C|No-PKS|0.0|0.0|0.0|0.0
585|536847|275.128384|-16.187417|268.160156|2.910333|No-3C|No-PKS|0.0|0.0|0.0|0.0
586|536848|275.100188|-16.122541|21.772509|2.220797|No-3C|No-PKS|0.0|0.0|0.0|0.0
587|536942|274.747006|-15.023624|2.079651|-0.769655|No-3C|No-PKS|0.0|0.0|0.0|0.0
588|536983|275.552692|-14.623918|1.16313|0.515074|No-3C|No-PKS|0.0|0.0|0.0|0.0
589|537000|275.242001|-14.342506|1.604659|0.17343|No-3C|No-PKS|0.0|0.0|0.0|0.0
590|537553|112.675818|-26.343356|1.209944|-0.610039|No-3C|No-PKS|0.0|0.0|0.0|0.0
591|539018|200.328511|11.113697|2.253409|-0.701155|No-3C|PKS-J1321+1106|2.4|0.0|5.9|-0.718004
592|540102|186.606664|9.668209|1.034864|-0.540672|No-3C|PKS-J1226+0939|0.0|0.0|2.26|0.0
593|540210|127.019924|-37.518196|2.617487|0.505358|No-3C|PKS-J0828-3731|3.4|0.0|0.0|0.0
