% f (Hz),   G_rec (dB), T_e_rec (K) 
1351000000,  56.26,   7.24
1352000000,  56.26,   7.30
1353000000,  56.25,   7.38
1354000000,  56.24,   7.28
1355000000,  56.23,   7.37
1356000000,  56.22,   7.36
1357000000,  56.22,   7.47
1358000000,  56.19,   7.37
1359000000,  56.17,   7.39
1360000000,  56.17,   7.53
1361000000,  56.16,   7.33
1362000000,  56.14,   7.40
1363000000,  56.13,   7.55
1364000000,  56.12,   7.54
1365000000,  56.12,   7.57
1366000000,  56.12,   7.62
1367000000,  56.12,   7.36
1368000000,  56.11,   7.45
1369000000,  56.10,   7.42
1370000000,  56.10,   7.54
1371000000,  56.10,   7.49
1372000000,  56.10,   7.49
1373000000,  56.09,   7.58
1374000000,  56.09,   7.45
1375000000,  56.09,   7.55
1376000000,  56.07,   7.65
1377000000,  56.08,   7.73
1378000000,  56.07,   7.70
1379000000,  56.07,   7.76
1380000000,  56.06,   7.75
1381000000,  56.07,   7.77
1382000000,  56.06,   7.75
1383000000,  56.06,   7.78
1384000000,  56.05,   7.74
1385000000,  56.06,   7.76
1386000000,  56.06,   7.79
1387000000,  56.05,   7.97
1388000000,  56.06,   8.03
1389000000,  56.07,   7.79
1390000000,  56.05,   7.92
1391000000,  56.07,   7.93
1392000000,  56.06,   7.95
1393000000,  56.06,   7.96
1394000000,  56.07,   8.08
1395000000,  56.07,   8.03
1396000000,  56.07,   8.03
1397000000,  56.07,   8.33
1398000000,  56.07,   8.21
1399000000,  56.08,   8.05
1400000000,  56.08,   8.13
1401000000,  56.09,   8.24
1402000000,  56.09,   8.32
1403000000,  56.08,   8.35
1404000000,  56.09,   8.46
1405000000,  56.09,   8.47
1406000000,  56.08,   8.55
1407000000,  56.09,   8.55
1408000000,  56.10,   8.80
1409000000,  56.09,   8.91
1410000000,  56.09,   8.95
1411000000,  56.09,   9.16
1412000000,  56.10,   9.40
1413000000,  56.09,   9.50
1414000000,  56.10,   9.51
1415000000,  56.11,   9.73
1416000000,  56.11,   9.73
1417000000,  56.11,  10.05
1418000000,  56.12,  10.00
1419000000,  56.13,  10.07
1420000000,  56.13,  10.01
1421000000,  56.14,   9.92
1422000000,  56.14,   9.92
1423000000,  56.15,   9.83
1424000000,  56.15,   9.74
1425000000,  56.15,   9.63
1426000000,  56.15,   9.69
1427000000,  56.14,   9.62
1428000000,  56.14,   9.41
1429000000,  56.14,   9.31
1430000000,  56.15,   9.21
1431000000,  56.16,   9.15
1432000000,  56.15,   9.21
1433000000,  56.15,   9.02
1434000000,  56.16,   9.08
1435000000,  56.15,   8.94
1436000000,  56.15,   8.91
1437000000,  56.15,   9.05
1438000000,  56.15,   9.01
1439000000,  56.15,   8.80
1440000000,  56.14,   8.88
1441000000,  56.15,   8.96
1442000000,  56.14,   8.99
1443000000,  56.13,   8.95
1444000000,  56.13,   8.92
1445000000,  56.13,   9.04
1446000000,  56.12,   8.85
1447000000,  56.11,   8.95
1448000000,  56.11,   9.15
1449000000,  56.10,   9.20
1450000000,  56.09,   9.19
1451000000,  56.09,   8.98
1452000000,  56.08,   9.07
1453000000,  56.06,   9.18
1454000000,  56.06,   9.18
1455000000,  56.05,   9.21
1456000000,  56.05,   9.03
1457000000,  56.04,   9.09
1458000000,  56.02,   9.02
1459000000,  56.01,   9.07
1460000000,  56.01,   9.06
1461000000,  56.01,   9.02
1462000000,  55.99,   9.02
1463000000,  55.98,   9.09
1464000000,  55.97,   8.89
1465000000,  55.96,   8.93
1466000000,  55.95,   8.88
1467000000,  55.94,   8.96
1468000000,  55.93,   8.89
1469000000,  55.91,   8.94
1470000000,  55.90,   8.96
1471000000,  55.88,   8.85
1472000000,  55.87,   8.83
1473000000,  55.86,   8.87
1474000000,  55.84,   8.82
1475000000,  55.82,   8.75
1476000000,  55.80,   8.76
1477000000,  55.80,   8.74
1478000000,  55.76,   8.80
1479000000,  55.75,   8.82
1480000000,  55.74,   8.76
1481000000,  55.73,   8.74
1482000000,  55.71,   8.88
1483000000,  55.70,   8.88
1484000000,  55.67,   8.91
1485000000,  55.66,   8.79
1486000000,  55.65,   8.81
1487000000,  55.63,   8.93
1488000000,  55.63,   8.96
1489000000,  55.59,   8.95
1490000000,  55.58,   8.80
1491000000,  55.58,   8.85
1492000000,  55.55,   8.96
1493000000,  55.55,   9.15
1494000000,  55.53,   9.06
1495000000,  55.52,   9.01
1496000000,  55.50,   9.00
1497000000,  55.48,   9.05
1498000000,  55.47,   9.08
1499000000,  55.46,   9.15
1500000000,  55.43,   9.03
1501000000,  55.42,   9.09
1502000000,  55.42,   9.24
1503000000,  55.40,   9.09
1504000000,  55.38,   9.09
1505000000,  55.37,   9.17
1506000000,  55.36,   9.13
1507000000,  55.35,   9.14
1508000000,  55.35,   9.22
1509000000,  55.32,   9.13
1510000000,  55.32,   9.08
1511000000,  55.31,   9.15
1512000000,  55.31,   9.21
1513000000,  55.30,   9.08
1514000000,  55.29,   9.15
1515000000,  55.28,   9.31
1516000000,  55.28,   9.35
1517000000,  55.27,   9.30
1518000000,  55.26,   9.18
1519000000,  55.26,   9.28
1520000000,  55.25,   9.26
1521000000,  55.24,   9.25
1522000000,  55.23,   9.29
1523000000,  55.23,   9.32
1524000000,  55.22,   9.30
1525000000,  55.21,   9.26
1526000000,  55.20,   9.41
1527000000,  55.20,   9.41
1528000000,  55.19,   9.43
1529000000,  55.19,   9.39
1530000000,  55.17,   9.46
1531000000,  55.17,   9.36
1532000000,  55.17,   9.38
1533000000,  55.15,   9.44
1534000000,  55.15,   9.41
1535000000,  55.15,   9.40
1536000000,  55.14,   9.28
1537000000,  55.14,   9.38
1538000000,  55.14,   9.42
1539000000,  55.13,   9.41
1540000000,  55.12,   9.31
1541000000,  55.13,   9.24
1542000000,  55.13,   9.25
1543000000,  55.12,   9.26
1544000000,  55.11,   9.31
1545000000,  55.10,   9.18
1546000000,  55.10,   9.13
1547000000,  55.10,   9.16
1548000000,  55.09,   9.06
1549000000,  55.09,   9.09
1550000000,  55.09,   9.08
1551000000,  55.08,   9.00
1552000000,  55.07,   8.99
1553000000,  55.07,   9.04
1554000000,  55.06,   9.04
1555000000,  55.06,   8.97
1556000000,  55.05,   8.97
1557000000,  55.05,   8.97
1558000000,  55.05,   8.93
1559000000,  55.04,   8.82
1560000000,  55.04,   8.88
1561000000,  55.03,   8.94
1562000000,  55.03,   8.93
1563000000,  55.02,   8.81
1564000000,  55.02,   8.83
1565000000,  55.02,   8.87
1566000000,  55.01,   8.79
1567000000,  54.99,   8.87
1568000000,  54.99,   8.86
1569000000,  55.01,   8.84
1570000000,  54.99,   8.88
1571000000,  54.97,   8.76
1572000000,  54.98,   8.69
1573000000,  54.98,   8.72
1574000000,  54.97,   8.80
1575000000,  54.96,   8.72
1576000000,  54.96,   8.67
1577000000,  54.94,   8.73
1578000000,  54.94,   8.76
1579000000,  54.93,   8.71
1580000000,  54.92,   8.78
1581000000,  54.92,   8.77
1582000000,  54.90,   8.75
1583000000,  54.89,   8.72
1584000000,  54.89,   8.70
1585000000,  54.88,   8.76
1586000000,  54.87,   8.74
1587000000,  54.86,   8.78
1588000000,  54.85,   8.82
1589000000,  54.83,   8.82
1590000000,  54.82,   8.77
1591000000,  54.82,   8.75
1592000000,  54.80,   8.80
1593000000,  54.78,   8.75
1594000000,  54.77,   8.81
1595000000,  54.76,   8.85
1596000000,  54.75,   8.84
1597000000,  54.73,   8.82
1598000000,  54.72,   8.84
1599000000,  54.69,   8.89
1600000000,  54.70,   8.89
1601000000,  54.67,   8.84
1602000000,  54.65,   8.85
1603000000,  54.64,   8.91
1604000000,  54.62,   8.97
1605000000,  54.61,   8.91
1606000000,  54.59,   8.90
1607000000,  54.57,   9.00
1608000000,  54.56,   9.00
1609000000,  54.54,   8.96
1610000000,  54.52,   9.01
1611000000,  54.51,   9.07
1612000000,  54.49,   9.06
1613000000,  54.46,   9.12
1614000000,  54.46,   9.15
1615000000,  54.43,   9.12
1616000000,  54.41,   9.10
1617000000,  54.40,   9.13
1618000000,  54.38,   9.16
1619000000,  54.37,   9.18
1620000000,  54.34,   9.18
1621000000,  54.32,   9.26
1622000000,  54.31,   9.36
1623000000,  54.30,   9.34
1624000000,  54.28,   9.35
1625000000,  54.26,   9.34
1626000000,  54.24,   9.31
1627000000,  54.23,   9.37
1628000000,  54.21,   9.38
1629000000,  54.19,   9.38
1630000000,  54.18,   9.44
1631000000,  54.17,   9.43
1632000000,  54.15,   9.54
1633000000,  54.14,   9.60
1634000000,  54.12,   9.52
1635000000,  54.10,   9.51
1636000000,  54.09,   9.51
1637000000,  54.08,   9.63
1638000000,  54.06,   9.60
1639000000,  54.05,   9.52
1640000000,  54.04,   9.59
1641000000,  54.04,   9.56
1642000000,  54.02,   9.61
1643000000,  54.01,   9.61
1644000000,  53.99,   9.54
1645000000,  53.98,   9.57
1646000000,  53.98,   9.49
1647000000,  53.97,   9.41
1648000000,  53.95,   9.35
1649000000,  53.95,   9.37
1650000000,  53.95,   9.48
1651000000,  53.94,   9.58
1652000000,  53.93,   9.64
1653000000,  53.92,   9.62
1654000000,  53.92,   9.67
1655000000,  53.91,   9.67
1656000000,  53.90,   9.61
1657000000,  53.90,   9.69
1658000000,  53.90,   9.75
1659000000,  53.90,   9.72
1660000000,  53.89,   9.77
1661000000,  53.89,   9.81
1662000000,  53.89,   9.80
1663000000,  53.90,   9.84
1664000000,  53.88,   9.98
1665000000,  53.89,  10.09
1666000000,  53.89,  10.16
1667000000,  53.89,  10.27
1668000000,  53.89,  10.35
1669000000,  53.89,  10.42
1670000000,  53.88,  10.59
