% f (Hz),G_rec (dB),T_e_rec (K)
1367000000,  57.46,   7.67
1368000000,  57.46,   7.85
1369000000,  57.45,   7.71
1370000000,  57.46,   7.71
1371000000,  57.46,   7.83
1372000000,  57.46,   7.85
1373000000,  57.46,   7.81
1374000000,  57.47,   7.82
1375000000,  57.47,   7.80
1376000000,  57.47,   7.93
1377000000,  57.48,   7.82
1378000000,  57.48,   7.93
1379000000,  57.48,   7.95
1380000000,  57.48,   8.01
1381000000,  57.49,   7.94
1382000000,  57.49,   7.92
1383000000,  57.50,   7.85
1384000000,  57.50,   7.97
1385000000,  57.51,   7.94
1386000000,  57.51,   7.97
1387000000,  57.50,   8.05
1388000000,  57.52,   7.95
1389000000,  57.52,   8.00
1390000000,  57.51,   7.98
1391000000,  57.53,   8.05
1392000000,  57.53,   8.19
1393000000,  57.53,   8.21
1394000000,  57.55,   8.17
1395000000,  57.55,   8.18
1396000000,  57.55,   8.04
1397000000,  57.55,   8.15
1398000000,  57.56,   8.34
1399000000,  57.57,   8.28
1400000000,  57.57,   8.39
1401000000,  57.59,   8.38
1402000000,  57.59,   8.56
1403000000,  57.58,   8.37
1404000000,  57.60,   8.57
1405000000,  57.60,   8.69
1406000000,  57.59,   8.72
1407000000,  57.60,   8.86
1408000000,  57.62,   9.04
1409000000,  57.62,   8.98
1410000000,  57.62,   9.26
1411000000,  57.62,   9.43
1412000000,  57.63,   9.47
1413000000,  57.62,   9.51
1414000000,  57.64,   9.69
1415000000,  57.65,   9.93
1416000000,  57.65,   9.93
1417000000,  57.65,   9.95
1418000000,  57.66,  10.00
1419000000,  57.66,  10.06
1420000000,  57.66,  10.22
1421000000,  57.66,  10.06
1422000000,  57.66,  10.09
1423000000,  57.66,  10.04
1424000000,  57.66,   9.66
1425000000,  57.66,   9.59
1426000000,  57.66,   9.50
1427000000,  57.65,   9.38
1428000000,  57.64,   9.29
1429000000,  57.64,   9.30
1430000000,  57.64,   9.32
1431000000,  57.64,   9.32
1432000000,  57.63,   9.07
1433000000,  57.63,   9.06
1434000000,  57.63,   9.09
1435000000,  57.62,   8.96
1436000000,  57.62,   8.97
1437000000,  57.62,   9.00
1438000000,  57.63,   9.07
1439000000,  57.62,   9.17
1440000000,  57.62,   9.12
1441000000,  57.62,   9.13
1442000000,  57.62,   9.28
1443000000,  57.61,   9.24
1444000000,  57.62,   9.14
1445000000,  57.62,   9.19
1446000000,  57.62,   9.23
1447000000,  57.61,   9.14
1448000000,  57.61,   9.03
1449000000,  57.62,   9.05
1450000000,  57.61,   9.01
1451000000,  57.61,   9.09
1452000000,  57.62,   8.98
1453000000,  57.60,   8.95
1454000000,  57.61,   8.93
1455000000,  57.61,   8.90
1456000000,  57.61,   8.91
1457000000,  57.61,   8.90
1458000000,  57.60,   9.02
1459000000,  57.60,   8.82
1460000000,  57.60,   8.72
1461000000,  57.60,   8.73
1462000000,  57.60,   8.65
1463000000,  57.59,   8.65
1464000000,  57.59,   8.62
1465000000,  57.59,   8.66
1466000000,  57.58,   8.57
1467000000,  57.58,   8.48
1468000000,  57.59,   8.53
1469000000,  57.58,   8.43
1470000000,  57.57,   8.59
1471000000,  57.57,   8.46
1472000000,  57.57,   8.50
1473000000,  57.57,   8.39
1474000000,  57.57,   8.50
1475000000,  57.56,   8.52
1476000000,  57.55,   8.45
1477000000,  57.56,   8.57
1478000000,  57.54,   8.56
1479000000,  57.54,   8.48
1480000000,  57.54,   8.47
1481000000,  57.53,   8.52
1482000000,  57.54,   8.60
1483000000,  57.53,   8.59
1484000000,  57.51,   8.58
1485000000,  57.51,   8.47
1486000000,  57.51,   8.43
1487000000,  57.50,   8.51
1488000000,  57.52,   8.53
1489000000,  57.49,   8.44
1490000000,  57.49,   8.52
1491000000,  57.50,   8.47
1492000000,  57.49,   8.53
1493000000,  57.50,   8.57
1494000000,  57.50,   8.53
1495000000,  57.50,   8.55
1496000000,  57.50,   8.45
1497000000,  57.49,   8.45
1498000000,  57.49,   8.41
1499000000,  57.50,   8.35
1500000000,  57.49,   8.44
1501000000,  57.49,   8.57
1502000000,  57.50,   8.52
1503000000,  57.50,   8.51
1504000000,  57.49,   8.40
1505000000,  57.49,   8.45
1506000000,  57.49,   8.56
1507000000,  57.50,   8.56
1508000000,  57.50,   8.46
1509000000,  57.49,   8.49
1510000000,  57.49,   8.55
1511000000,  57.49,   8.49
1512000000,  57.50,   8.61
1513000000,  57.50,   8.62
1514000000,  57.49,   8.51
1515000000,  57.49,   8.62
1516000000,  57.49,   8.65
1517000000,  57.50,   8.63
1518000000,  57.50,   8.54
1519000000,  57.50,   8.66
1520000000,  57.50,   8.65
1521000000,  57.49,   8.62
1522000000,  57.50,   8.63
1523000000,  57.50,   8.60
1524000000,  57.49,   8.72
1525000000,  57.50,   8.68
1526000000,  57.49,   8.66
1527000000,  57.49,   8.74
1528000000,  57.49,   8.63
1529000000,  57.49,   8.72
1530000000,  57.48,   8.74
1531000000,  57.49,   8.67
1532000000,  57.48,   8.64
1533000000,  57.47,   8.65
1534000000,  57.47,   8.71
1535000000,  57.47,   8.69
1536000000,  57.46,   8.57
1537000000,  57.46,   8.44
1538000000,  57.46,   8.39
1539000000,  57.44,   8.45
1540000000,  57.44,   8.51
1541000000,  57.44,   8.51
1542000000,  57.45,   8.56
1543000000,  57.43,   8.53
1544000000,  57.43,   8.53
1545000000,  57.42,   8.43
1546000000,  57.42,   8.41
1547000000,  57.42,   8.41
1548000000,  57.41,   8.43
1549000000,  57.40,   8.28
1550000000,  57.41,   8.35
1551000000,  57.39,   8.39
1552000000,  57.38,   8.27
1553000000,  57.38,   8.28
1554000000,  57.37,   8.31
1555000000,  57.37,   8.35
1556000000,  57.36,   8.32
1557000000,  57.36,   8.40
1558000000,  57.35,   8.45
1559000000,  57.34,   8.32
1560000000,  57.34,   8.31
1561000000,  57.33,   8.36
1562000000,  57.32,   8.35
1563000000,  57.31,   8.30
1564000000,  57.30,   8.25
1565000000,  57.30,   8.29
1566000000,  57.29,   8.33
1567000000,  57.26,   8.37
1568000000,  57.27,   8.20
